"Ano","Facultad.SIDI","PAS","PDI","PI","Estudiantes","Total"
"2013","F. VETERINARIA","96","258","89","1861","2304"
"2014","F. VETERINARIA","93","259","85","1805","2242"
"2015","F. VETERINARIA","92","261","103","1831","2287"
"2016","F. VETERINARIA","92","266","100","1889","2347"
"2017","F. VETERINARIA","89","279","92","1863","2323"
"2018","F. VETERINARIA","96","276","97","2064","2533"
"2019","F. VETERINARIA","95","288","96","1964","2443"
"2020","F. VETERINARIA","88","295","101","1920","2404"
"2021","F. VETERINARIA","94","318","122","1885","2419"
"2022","F. VETERINARIA","96","327","127","1940","2490"
"2023","F. VETERINARIA","94","343","110","1925","2472"
"2024","F. VETERINARIA","97","354","84","1936","2471"
"2025","F. VETERINARIA","91","342","72","1725","2230"
